S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, 

sound (0.023992260856444157), sound (0.024247487104439126), sound (0.02395985609808486), sound (0.02424815796147928), sound (0.023865895954066213), headphon (0.020704725745504932), headphon (0.02133421349755032), headphon (0.02009931799416428), headphon (0.02010358407304436), headphon (0.020457861333109287), 


headphon (0.021908256953812807), headphon (0.022381705568432428), headphon (0.02157159465028159), headphon (0.02205197381952112), headphon (0.021876552908106445), sound (0.013467042932940574), ear (0.012944578077876839), beat (0.012574536243141513), sound (0.012519649288405384), sound (0.014027485578072445), 


ear (0.013894216910437567), ear (0.014036201590379176), ear (0.014076664618990778), ear (0.01398575761258346), ear (0.014168004119634444), ear (0.01212595823010781), sound (0.012191558131414239), ear (0.012419042354459385), ear (0.012053194385299), ear (0.012378358636391983), 


use (0.01220877836827687), great (0.012346895621177773), great (0.012374857035423082), great (0.012322751123586237), great (0.012354081567408462), use (0.010996011077017651), beat (0.011222327881795039), sound (0.011830080364206913), one (0.010174935975457298), use (0.01168334765172813), 


great (0.012202719619090785), good (0.01192744644790142), use (0.012221619602934922), use (0.012028233943855432), use (0.012266993379029985), one (0.009621208590575804), one (0.01053113056889128), one (0.011151651614224383), beat (0.010018829067884361), like (0.00932968380728261), 


good (0.011813017269637568), use (0.011655060246962815), good (0.011893965580622841), good (0.011929215236876971), good (0.011848970074813298), like (0.008393720706330793), like (0.009111236968630039), like (0.009462347519985646), use (0.008816930267546914), one (0.008489116794032357), 


qualiti (0.010121610023395464), qualiti (0.010143508653021818), qualiti (0.010184683000348407), qualiti (0.010077057628138845), qualiti (0.009981550492583396), beat (0.008369235172995624), box (0.00890921546661809), box (0.009456735214024719), qualiti (0.008748827851693383), get (0.007957189527261118), 


like (0.008531593565019022), like (0.008483615278287965), like (0.008436779603755818), like (0.008554962375995588), like (0.008423916037585504), qualiti (0.00832909495441338), qualiti (0.008413283083752636), use (0.009445510602102868), like (0.008601428102311766), qualiti (0.00785697686883645), 


