S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
dont (0.0039786792894703415), fit (0.00396322806332038), fit (0.003956787145082872), look (0.003900199571604261), time (0.003982465706798412), dont (0.003921951889694731), fit (0.0039593618865392775), look (0.003984939492584249), much (0.003888192840370112), fit (0.003949331888220406), review (0.004149636850852329), phone (0.004235665881364078), month (0.004224854988829328), wast (0.004127991963716634), bass (0.003880243635888174), wast (0.004022552192229323), back (0.00385906283521727), phone (0.0041412430306821055), back (0.004256820117784549), tri (0.004205945873687729), 
,,,,,,,,,,,,,,,,,,,,
review (0.003952763010297119), time (0.003955449401737621), time (0.0038165811404385986), even (0.003847407170492002), fit (0.0038474450737413634), fit (0.00390546777241942), dont (0.003926790630371958), phone (0.003977092549021804), dont (0.0038316898688572185), time (0.0038644140669858436), wast (0.004071875336552517), cord (0.004183767063127991), better (0.00416209978050083), day (0.004098985430022839), headset (0.003825430845646859), return (0.003746767553281871), bad (0.0038198459993884076), much (0.004032856078591502), wast (0.0042237130311479085), music (0.004150735406963715), 
,,,,,,,,,,,,,,,,,,,,
fit (0.0039193377613474965), dont (0.0039048881014496868), dont (0.003806655051614225), fit (0.0037971900084583904), dont (0.003806295928428739), time (0.003758378725962796), look (0.003767842900275438), review (0.0037848424317419214), time (0.0038093514847707256), review (0.0037572869694283955), month (0.003990579207966349), even (0.004161759336407625), buy (0.004076307850127692), volum (0.003930022371256479), music (0.003822923070929936), come (0.0036949379575632085), music (0.0038144694977021924), headset (0.003998052928837639), music (0.004013465965496662), even (0.004057968983223947), 
,,,,,,,,,,,,,,,,,,,,
time (0.003736794017186926), review (0.003815433493247957), review (0.003670171330279092), time (0.0037328090314922217), even (0.0037522876752059202), even (0.003679762166649773), time (0.003746997296328353), time (0.0037547624814192183), review (0.00374759242288454), dont (0.0036998041365926917), could (0.0038896820365194847), well (0.004104604941641301), review (0.0040659810436938885), well (0.00388868806074282), month (0.0038100259438143325), back (0.0036805408476413577), better (0.003775568926678402), cabl (0.003961592486238353), return (0.0038622655595169503), back (0.004042240420029315), 
,,,,,,,,,,,,,,,,,,,,
phone (0.00369711358974467), even (0.0037389433210174923), even (0.003668930569176045), phone (0.0036491137614362017), review (0.003579975629209306), phone (0.003679762166649773), even (0.003710517489420955), dont (0.003705065172190405), even (0.0036556108413519227), even (0.003652772727908934), headset (0.00377368242221274), audio (0.003976500263716783), wast (0.004050093649180344), replac (0.0038778106106076467), phone (0.0037423160264574143), volum (0.0036421485545164224), bose (0.0036582346839968867), make (0.0037478017091789055), bad (0.0038182365473919326), money (0.004014956177752913), 
,,,,,,,,,,,,,,,,,,,,
