
S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S0-T10, S0-T11, S0-T12, S0-T13, S0-T14, S0-T15, S0-T16, S0-T17, S0-T18, S0-T19, S0-T20, S0-T21, S0-T22, S0-T23, S0-T24, S0-T25, S0-T26, S0-T27, S0-T28, S0-T29, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, S1-T10, S1-T11, S1-T12, S1-T13, S1-T14, S1-T15, S1-T16, S1-T17, S1-T18, S1-T19, S1-T20, S1-T21, S1-T22, S1-T23, S1-T24, S1-T25, S1-T26, S1-T27, S1-T28, S1-T29, 

headphon (0.027767560586808113), headphon (0.024331295892843507), headphon (0.026037278274167117), headphon (0.024780066050511012), headphon (0.02598560492548165), headphon (0.02410598895905122), headphon (0.02240696628114967), headphon (0.024944861569775156), headphon (0.025547976722560657), headphon (0.02784788103926521), headphon (0.02477685380907916), headphon (0.026642945055902364), headphon (0.02514111420048523), headphon (0.024615495689869354), headphon (0.02746031233455994), headphon (0.02195892799152232), headphon (0.023083309628301848), headphon (0.02694229811294282), headphon (0.02707690058492557), headphon (0.02989851004513142), headphon (0.027476311175885865), headphon (0.029240027119993055), headphon (0.02410831413636627), headphon (0.024826698774454058), headphon (0.022663956842734926), headphon (0.02938587613674286), headphon (0.023783153162255172), headphon (0.02981295238263212), headphon (0.028515885386798914), headphon (0.032567487201763966), headphon (0.025485763292199894), headphon (0.029522247168441918), headphon (0.021878095190233943), headphon (0.02203014342103858), headphon (0.01834242981746016), headphon (0.020645187209431367), headphon (0.02497323510161584), headphon (0.023853909728353793), headphon (0.01946299740624833), headphon (0.021498304052734066), headphon (0.022746636379840854), headphon (0.020059560503209856), headphon (0.021089590839449467), headphon (0.023718962489817447), headphon (0.021737317013228098), headphon (0.02328573752948256), headphon (0.018819647012979973), use (0.020121991101705556), headphon (0.02439602789043214), headphon (0.018948118785111587), headphon (0.017583422765566868), use (0.020473792649276505), ear (0.01752744978890899), headphon (0.021276029977582992), headphon (0.022076294936956762), headphon (0.023256540309402034), headphon (0.026497346715051943), headphon (0.021642663127638094), headphon (0.02061127614875619), headphon (0.021839890447826405), 

use (0.012740302798409282), use (0.01241263945099685), use (0.01330815312132894), use (0.01192325040109894), use (0.012263639485130996), use (0.011424684728267416), use (0.011351588840228284), use (0.011768704144726853), use (0.0123593352894417), use (0.012579718204483933), use (0.011563182805076191), use (0.012240059835134853), use (0.012184430723300922), use (0.011575589101351402), use (0.012541726397523758), use (0.012296999634587817), use (0.011692780067962908), use (0.012772850515224272), use (0.012438975269448661), use (0.011788776923460831), use (0.01295894887443367), use (0.013051452290725485), use (0.011675949354225883), use (0.011702322161956482), use (0.011800919227985861), use (0.013154119266271603), use (0.01111001700216351), use (0.012647655368927776), use (0.013032287062374553), use (0.01459001329372675), use (0.01919946099825807), use (0.01906954223652137), use (0.013021558080665512), use (0.013380222735687088), use (0.017623796862400863), use (0.014719484605632582), use (0.02006427323670919), use (0.016978704962452473), use (0.015081274559454655), use (0.017924680445512275), use (0.018757501981664777), use (0.01594975514561696), use (0.015887238412922357), use (0.01774911834462959), use (0.017517251253456215), use (0.018115990543776366), use (0.016775421669516385), headphon (0.02002711494544984), use (0.016086782811676043), use (0.017586257645123404), use (0.015901085770683145), headphon (0.016479437794597856), headphon (0.015274123808454056), use (0.012381505990174778), ear (0.015041754530681725), use (0.022190089961139702), use (0.015998304596250776), ear (0.013997872142098453), use (0.01491891945725131), use (0.012155497631720764), 

ear (0.011605524887419552), ear (0.010594361175477034), ear (0.010460474116219726), ear (0.010279363948687925), ear (0.009924445661847253), ear (0.010561358419061258), ear (0.009899196989735588), ear (0.009961973467504322), ear (0.010165687018618669), ear (0.010634495535629587), ear (0.010371706188307262), ear (0.010527025646086758), ear (0.009877206733986277), ear (0.010271598442499606), ear (0.010805438994682257), ear (0.010101106826193612), ear (0.010276520137791878), ear (0.011108032912359166), ear (0.010799080390057229), ear (0.010693273795650994), ear (0.009879227287160742), ear (0.009667110949377814), ear (0.010541326359287954), ear (0.009371733087050969), ear (0.010070846179534628), ear (0.00969641206313866), ear (0.010556000120848029), ear (0.010271323682953493), ear (0.010798180690914526), ear (0.009858614630781982), product (0.011026066046287825), work (0.0102847390258004), ear (0.011294244857748867), ear (0.011575287915401541), ear (0.012777828111974296), qualiti (0.013374847201270275), qualiti (0.01006115781492024), product (0.009172517768435922), ear (0.013997052906201521), earphon (0.011176720784948222), ear (0.012351205286948032), nois (0.013319592237095836), ear (0.013729057275280107), qualiti (0.01150614407515209), transmitt (0.011258245365816115), work (0.013174412560462284), ear (0.013272130487155661), product (0.011690388345762769), ear (0.013662947420211884), qualiti (0.01106897990097377), earphon (0.010691849432953895), work (0.010559934862418354), use (0.012400420105532097), problem (0.010738507477436173), use (0.013200615560150482), qualiti (0.011705730118425564), qualiti (0.012875263892090058), use (0.013173138533313634), product (0.013656701234352404), phone (0.011975067469897816), 

good (0.008517733834918897), good (0.008176996994150112), good (0.008599990499548373), good (0.008605035154565595), good (0.008133347462429158), bass (0.008940223460663026), bass (0.008618798911011761), good (0.008604429975226618), good (0.008614082144134085), good (0.008267196249948355), bass (0.00843799823650195), good (0.008479040637951045), good (0.008065749882871473), good (0.008401120038408918), good (0.008597151132815884), bass (0.008216298832321918), good (0.007642622096925026), music (0.008388830827679498), bass (0.00932690203242174), bass (0.008463488668250441), bass (0.008190946176065344), bass (0.00855036355462581), bass (0.008339963796459664), bass (0.007969429491133244), bass (0.007657849559326328), music (0.008287373202880734), good (0.008399291547155616), music (0.008156127347086274), music (0.008739906765356445), music (0.00880923827363081), one (0.009743964877351317), ear (0.009909754095507286), like (0.010565816316978173), work (0.00924263910104946), qualiti (0.012466548596681233), ear (0.01296358842068074), ear (0.010022461043462643), nois (0.008529537098658498), one (0.011518831984480076), ear (0.010078680011779514), get (0.009615565525660447), qualiti (0.010233721958328272), product (0.012294056132882892), ear (0.010994567016958796), audio (0.010106542783129046), ear (0.011358437349642878), product (0.009825055501740187), review (0.011372759474819718), qualiti (0.010087698544754164), ear (0.010661825539534002), qualiti (0.009754547392947248), ear (0.010263086632781034), get (0.011534030527604013), qualiti (0.01067151142157693), qualiti (0.011956978293263339), one (0.009468346110753577), time (0.009999544734376852), work (0.009847842749948361), qualiti (0.013651751358968485), work (0.011033692712560694), 

music (0.008159193452341196), bass (0.008029853087460648), music (0.0075368570043076), bass (0.007833829164545614), bass (0.007771212853803642), good (0.007856269316881959), good (0.008456360348785606), bass (0.007596254293461558), music (0.007579678894477696), music (0.008202967199561654), like (0.0078031951210103066), like (0.007646448601933255), bass (0.007903672164613833), like (0.007834632293170022), bass (0.007543578679635363), good (0.007667325630223367), music (0.007383550158479106), bass (0.008148357173932315), good (0.008274014979176108), good (0.008201731283729505), music (0.007764237763370902), music (0.007936578726975856), good (0.008233289839670628), good (0.007890426471644922), good (0.007448419663987495), good (0.008185403285362066), bass (0.00819153521666231), good (0.007651265670212616), bass (0.008357212618393384), bass (0.007677016414599279), would (0.009062848631353796), one (0.008745738374389078), would (0.007792739347410534), product (0.009017022248513765), one (0.011290603761129664), would (0.010567559003333012), work (0.009969943996484475), qualiti (0.007558368378682179), qualiti (0.009986247993415496), one (0.008807614631929679), earphon (0.009239925439035884), ear (0.010140892679203997), one (0.011052155408064195), product (0.01061305192271295), ear (0.009458176884727436), pair (0.009529959727733493), work (0.009756062896398292), qualiti (0.010960254447620952), review (0.00866493283841817), product (0.008564278587840863), work (0.009382029915508709), pair (0.01023689414193068), would (0.00948036634288559), like (0.009969647979241993), product (0.01097735340705615), work (0.008034402737076523), work (0.00927212842129594), review (0.009625654243472085), ear (0.01298846805752357), qualiti (0.010817960997337603), 

like (0.007517828544416898), like (0.007735565274081717), bass (0.007479903424205416), like (0.007245277224793522), music (0.007546102151144537), like (0.007501346278652761), like (0.007281069575031647), like (0.007366669732267535), bass (0.007454837122967442), bass (0.008010280048401555), good (0.007607871085474416), music (0.007646448601933255), like (0.007751128429783113), bass (0.007032998691416871), music (0.00737500708712648), like (0.007621577863381822), bass (0.007366278695916045), good (0.00777839770662896), music (0.007621784061236334), music (0.007872110873592034), like (0.00762509371575315), good (0.00781723167715503), like (0.007379898185358339), like (0.0072584023157383415), nois (0.007293623654389226), like (0.007619933742758557), like (0.007222005674360215), like (0.007511993483488849), good (0.008233095597756717), good (0.007603375968483407), work (0.008918612249848438), bass (0.008437157025502037), qualiti (0.0077891332655255306), review (0.008634620803538015), product (0.010564284892112518), one (0.008740139552191686), earphon (0.009254053724518922), time (0.007518182086821089), review (0.007609927603014834), time (0.007882598465442101), much (0.009231759350196218), cancel (0.009721754418915604), qualiti (0.009265029974788506), bad (0.008584085285132763), qualiti (0.008983277301249063), review (0.008317225852005559), much (0.007821714665145871), work (0.010353872057638765), bass (0.007931548453708893), work (0.008196435681988384), like (0.008865312124222993), audio (0.009014577902247597), one (0.009391231612646076), would (0.007532267661315208), time (0.009584340714257983), product (0.007742570040423656), disappoint (0.00864170094995915), time (0.009230234020082105), pair (0.008746424853506457), ear (0.009566717049043678), 

